Curve_date,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23
2012-06-19,12447,7447,4539,2924,2533,4436,12506,22678,28321,27259,23959,23456,24701,24632,27377,23723,19582,24570,31781,32672,30698,31457,29047,24081
2012-06-20,16707,9676,6043,4067,3279,4659,13052,23722,28613,28189,26122,26707,27098,26781,27065,25070,19589,24288,31289,34533,32851,33626,31742,26966
2012-06-21,19047,11403,7074,4416,3605,4800,13495,24564,29611,28693,26431,26499,27438,27528,28105,24542,19314,24262,31870,35662,33826,34539,33049,31210
2012-06-22,26488,17556,11407,7484,5279,5525,12859,22556,28404,27859,25308,25962,25901,24448,25187,19802,17813,24076,31970,32340,30441,31926,32817,32608
2012-06-23,30641,27426,23529,17151,10849,5168,5549,7873,12123,16379,20197,22624,23148,24096,23764,22600,19984,23188,26693,29068,26217,27161,30690,32839
2012-06-24,31655,28466,25118,20122,12736,5987,5013,6022,8489,12627,17806,20352,21212,21564,21349,19381,17862,20018,22709,22403,21176,21956,20576,19940
2012-06-25,14111,8771,5577,3975,3659,5266,13089,22128,26491,24564,20918,20860,22043,21696,22428,21541,21061,22691,30023,29489,26391,25892,24553,18823
2012-06-26,13175,8364,5050,3236,2981,4610,12503,21857,26992,26594,23982,22610,24253,23607,24623,22522,18159,22240,29614,32375,30294,30922,29995,24653
2012-06-27,16880,10176,6317,4270,3414,4737,12624,22606,27653,27217,23826,24212,25036,24891,25140,22513,18523,23332,29735,32583,31185,31983,31160,27537
2012-06-28,20438,12333,7692,4882,3946,4865,13173,22572,27557,27454,24573,24325,25501,25606,25794,22842,18393,22529,28061,30922,30723,31729,31749,30129
2012-06-29,25540,17699,12465,7788,5764,5990,12944,21894,27460,26899,24173,24237,24613,24063,24285,21288,17020,21119,28897,33185,30784,30813,31284,32057
2012-06-30,29940,25749,22118,16232,10190,5066,5278,7835,11052,16038,19204,21452,22337,23355,22083,21563,19769,22857,25505,27347,23914,24955,27642,29365
2012-07-01,28624,25784,22241,17276,10987,5149,4583,5433,7292,11367,16187,19299,21754,23337,24816,21078,19780,22025,22349,21533,19317,20117,18759,15025
2012-07-02,11046,6530,4169,2901,2856,4195,10618,18049,23233,23169,19571,19048,20642,20943,21531,20722,18639,22470,26777,26458,24204,22935,21283,17254
2012-07-03,12131,7510,5091,3110,2620,3740,10139,17332,23700,23628,20241,20460,22658,23936,24799,23375,19502,22951,28756,27885,25925,27045,26342,26443
2012-07-04,24631,21292,16439,11661,7129,4009,4493,5464,6363,9038,12076,14332,16662,18729,18886,19696,19149,21013,22725,22542,21441,18944,21500,21351
2012-07-05,17669,11370,6903,4325,3377,3803,9070,15101,20872,21614,19274,19514,21251,21538,22007,21104,18945,23211,26538,26187,22443,23112,22420,19016
2012-07-06,14653,10093,7139,4864,3752,3831,8835,14945,20942,21096,19035,19523,21269,21828,22750,21503,19702,23720,27052,28545,25107,24826,25983,26355
2012-07-07,25096,21758,18244,13823,8813,4230,4404,6188,8778,13084,16119,18204,20092,21514,19777,19043,18798,20819,22981,25571,21775,22441,23731,27789
2012-07-08,26958,22757,17965,14294,9720,4621,4147,5266,6779,10428,14461,17238,19115,20095,20629,19960,19397,21184,22752,21298,19392,20037,19017,15342
2012-07-09,10955,6198,3912,2666,2879,4757,12212,20269,25351,24992,20481,19445,21018,21347,22112,21184,19293,23212,28620,28822,25931,25355,22644,17825
2012-07-10,12225,7184,4485,3042,2615,4298,11852,21174,26669,25982,22599,21857,23341,23106,24071,22386,19715,23925,30316,32481,29861,30354,28286,23365
2012-07-11,16135,9557,6051,4046,3245,4449,12295,22442,27794,26974,24029,23176,24283,23824,24263,22393,19356,24110,31684,34517,32265,32479,30282,26364
2012-07-12,19389,11460,7313,4839,3697,4639,12511,22116,27056,26258,24359,23895,24902,24388,24945,22637,18268,23275,30341,33393,31226,32223,31885,30243
2012-07-13,25358,16925,11420,7440,5346,5291,12114,20698,26904,26225,22824,22736,24131,23832,24441,22090,18677,23381,30470,33499,29917,31421,30918,32152
2012-07-14,30459,26522,22554,17439,10597,5225,5365,7782,10373,14815,17404,20141,21332,22055,21297,21136,19995,22876,26139,28688,25980,26663,28748,30942
2012-07-15,30329,27569,24099,19142,11968,5538,4494,5350,7013,11137,15744,19739,21741,22840,23366,22168,20554,21854,23865,23809,22263,26689,19440,15897
2012-07-16,10989,7108,4724,2868,2973,4570,12279,20800,25169,25191,21790,21286,22473,22664,23514,22565,20259,24221,29915,31049,27672,27115,25365,18635
2012-07-17,12428,7700,5076,3133,2709,4396,12496,22563,27424,26862,24080,23976,25191,25144,25576,23850,20308,25875,32464,34467,31624,31573,29585,24491
2012-07-18,16222,9524,6002,3979,3311,4523,13166,23638,28230,27923,25893,26275,27171,26463,26794,24120,16327,19244,24114,28517,28800,29382,28364,24876
2012-07-19,18142,11135,6955,4232,3709,4904,13113,22666,27663,26838,24446,23342,24718,25284,25228,21524,17456,22115,28849,32788,31561,32359,31672,29737
2012-07-20,25773,17479,12025,9028,5681,5800,12416,21386,26258,27214,24115,22545,23046,22290,24625,20990,16088,20863,28090,32273,27024,28884,29526,30924
2012-07-21,29092,25629,21322,14637,10276,5396,5369,7421,10747,14404,17564,19279,20932,21651,20884,20692,19353,22538,25208,28052,24464,26074,28718,30988
2012-07-22,30339,27077,22615,16047,11678,5552,4361,5730,8130,11706,16269,18575,20168,20858,21588,20841,19898,22001,23197,22127,19536,20861,19254,16616
2012-07-23,11573,6848,4394,3031,2992,4768,12697,20452,25497,25249,21641,20993,22355,22672,24819,23497,19307,23886,29502,30051,27239,31217,24569,17464
2012-07-24,12479,7640,4418,2859,2757,4547,13229,22232,27437,26932,24388,23703,25336,25153,25803,24172,19757,24157,31125,32993,28280,30552,29343,24735
2012-07-25,17037,10338,6230,4106,3394,4600,12809,22331,27225,26746,23508,22716,24597,23993,24098,22696,18754,23012,29776,33084,29300,32072,30155,27166
2012-07-26,19340,12030,7433,4756,3829,4672,12932,22620,27507,28642,25067,22458,24035,24259,25475,23364,18329,22852,31148,35177,28575,32417,29500,28170
2012-07-27,22606,15832,10733,6646,4912,5438,12377,20657,26256,26240,23255,23220,24382,23022,24053,21430,17624,22803,29176,31889,27716,29848,30974,32937
2012-07-28,31611,27602,22186,15866,10963,5612,5870,7302,10573,14296,17711,20029,21552,24356,23509,20468,20347,21874,23787,27099,24230,27954,27878,29827
2012-07-29,28426,25971,22205,16186,11338,5838,4707,5505,7769,11477,15713,18595,20688,20905,22049,21067,21622,21886,23377,22172,20109,20259,18531,12232
2012-07-30,11492,6706,4321,2920,3011,4586,12038,20334,24969,24943,21227,20363,21457,21722,22470,23033,19777,23084,28004,28781,24589,25315,23082,18528
2012-07-31,12829,7493,4694,3119,2694,4284,12215,21227,26417,25614,22689,21888,23288,23564,24005,21840,18554,22962,28522,30472,27603,29745,28127,23489
2012-08-01,16458,9778,5931,4044,3379,4506,13191,23150,26003,25833,23446,23266,25168,24806,25314,20787,16794,20760,26333,27226,25447,29202,28744,24313
2012-08-02,18265,10847,6748,4393,3618,4653,12892,21749,27137,26434,23764,23342,24770,24569,25348,22914,18976,23596,30760,33003,29742,32713,31678,29790
2012-08-03,24490,16340,11216,7067,4994,5263,12032,20774,26473,26125,23245,23628,24291,23167,24624,22440,19206,24085,30873,31690,28762,29749,30429,31341
2012-08-04,29835,25373,21042,15395,9953,5091,5736,7562,10706,14755,18546,20690,21524,22839,22218,22096,21285,23951,26486,28157,25548,26306,28006,29892
2012-08-05,29041,25718,21356,15783,10601,5013,4549,5816,9134,12158,16567,19791,21779,23050,23278,22042,20800,22974,24726,24827,22516,19919,17956,15442
2012-08-06,10909,6997,4477,2718,2961,4455,11957,20178,25047,24895,21507,20514,21595,21929,22636,21635,19311,23778,29764,29541,26092,25722,21877,17967
2012-08-07,12159,7230,4571,2987,2565,4148,11950,21065,26647,25642,22813,22046,23167,22783,23644,22427,19377,23712,30667,30866,28530,29720,26859,22336
2012-08-08,15468,9115,5875,3997,3315,4331,12148,21662,26637,26153,23755,22748,24331,24081,24046,22778,19223,23607,30275,31926,29515,31423,29696,25050
2012-08-09,17633,10987,6859,4410,3720,4593,12631,22333,27125,26621,24432,23483,24796,24698,25907,23222,18683,24404,31376,31720,29734,31778,31172,29792
2012-08-10,24236,17098,11699,6983,5016,5095,11796,20224,25972,25890,22930,23743,25808,22083,21567,21037,19024,24057,29590,31186,28618,28378,29483,31118
2012-08-11,29573,25082,21262,15745,10335,5100,5439,6864,9700,13719,16703,18989,20577,21898,22114,21316,19989,22750,24849,26632,24640,25100,26443,29080
2012-08-12,27994,25009,21175,15798,10492,5126,4314,5406,7360,11452,15600,17783,20165,20382,20623,19630,18972,21017,21892,20694,19601,19286,18326,15265
2012-08-13,10649,6609,4428,2946,3082,4269,11534,18737,23788,23533,19944,19379,20640,20834,21260,21038,19167,22928,27212,27626,25214,24038,21590,17191
2012-08-14,12170,7568,4849,3195,2872,4143,11697,20266,25767,25375,22671,22483,24504,22420,23384,21861,19450,23899,30600,29915,27516,28457,26206,21410
2012-08-15,15348,9365,5859,4055,3367,4320,11868,20696,26231,26565,23473,23465,25266,26241,24758,22167,18065,21800,30392,29432,27330,28235,27006,22563
2012-08-16,17168,10318,6527,4215,3548,4388,11660,20566,26434,26180,23287,22840,24147,23936,25029,22873,18891,23288,30490,31133,30104,31935,30869,28098
2012-08-17,23728,16757,11175,7176,5414,5066,11425,19014,24964,25149,22622,22009,23357,22936,24310,22188,19294,24512,30333,31973,28530,26919,28767,29930
2012-08-18,30267,25755,19880,14458,9360,4963,5676,7820,11951,14510,16768,18903,19866,21021,21120,21029,20082,22817,25220,25678,24865,24898,27312,29292
2012-08-19,27970,25257,21392,16888,11122,5253,4897,5930,8430,11269,14390,16744,17714,18634,18893,18090,17342,18693,20486,20291,18988,18229,16998,14479
2012-08-20,10676,6351,4142,2870,2929,4235,10890,18097,23288,23382,19967,18911,20247,20758,21604,20676,18897,22256,27192,27469,25700,23888,21594,16426
2012-08-21,11745,7140,4455,2869,2590,3961,10821,19353,25711,25039,21833,21318,22333,22567,23406,21623,19085,23421,29904,30307,28898,27845,25654,20814
2012-08-22,14700,8901,5841,3902,3187,4044,11038,20032,26366,25934,22484,22034,23126,23453,23411,21566,18768,23320,28757,29800,29714,28491,27777,23655
2012-08-23,16894,10656,6900,4513,3743,4368,11224,19728,25746,25432,22220,22230,23018,23189,24034,21774,18637,23550,30151,32574,31761,30990,30236,27737
2012-08-24,22792,15596,10504,6947,4997,4658,10713,17975,24138,23835,19895,19894,21153,21545,22692,21629,18789,23908,29092,31486,28941,27704,28894,29817
2012-08-25,28665,25108,21194,15771,9891,4901,5612,7375,9627,13590,16967,18882,20271,21104,20647,20516,18955,21554,24595,26586,24622,24627,27068,28475
2012-08-26,27368,25201,22240,17161,11029,4911,4549,5702,7407,11148,15143,17879,19474,20150,20735,19274,18452,20390,22019,21137,20192,18770,17680,14818
2012-08-27,10764,6402,4027,2684,2809,4126,10670,18281,23449,23154,19511,19903,26381,19984,19599,19084,18394,22293,26633,27110,24856,22586,20581,16593
2012-08-28,11936,7068,4379,2929,2489,4040,12337,20135,25916,25790,22041,21137,22393,22614,23266,21957,18836,23076,29404,29668,28383,27368,24984,20529
2012-08-29,14727,8991,5545,3924,3146,4150,10509,19132,24780,24839,21425,21134,22159,22091,22514,21395,18448,22863,28213,30344,29619,28467,27747,23853
2012-08-30,17234,10800,7051,4480,3652,4271,10517,18544,24932,24889,21568,21171,22422,22401,23336,21946,18288,22479,28903,31190,30247,29257,28982,27210
2012-08-31,22175,16462,11324,7540,5565,5290,10194,16564,22328,23250,20913,21282,22743,22880,24015,21982,18209,22040,27616,28942,26644,25640,26731,28536
2012-09-01,26890,22372,18962,14430,9679,4824,5311,7255,9633,13926,17261,19375,20574,22281,21706,21322,19584,22066,23204,24904,22900,22482,23981,26791
2012-09-02,25349,21552,17936,13966,9681,4324,4010,5124,6906,10532,14859,17475,18965,19552,20197,19719,17824,19430,20815,20712,20116,19410,19612,20637
2012-09-03,19442,15214,11601,8767,6020,3976,4570,5383,6726,9453,12805,15706,17536,18385,19188,19794,19093,20808,21488,21274,19542,19059,17794,13991
2012-09-04,10530,5788,3605,2398,2668,4921,12790,21877,26283,25501,22430,22240,22207,22816,23621,24266,19862,24274,29177,29626,29782,27899,24021,17930
2012-09-05,12606,7944,4731,3097,2877,4432,12999,24210,28472,27329,24706,25088,24750,24340,24786,23445,19905,24756,30571,32840,32320,29874,28406,26666
2012-09-06,20768,11178,6782,4228,3525,4537,12903,24831,28840,27478,25797,25115,26125,25729,26596,24370,19575,23839,30099,32306,32056,32177,31151,29497
2012-09-07,25327,18637,12322,7981,5652,5461,12981,24055,27551,26878,25499,25571,25258,24020,26863,24137,20292,24952,32471,34921,34072,33160,34130,34314
2012-09-08,32030,28215,24305,18321,11548,5571,5565,8241,12943,19245,24232,23188,24648,25582,25984,25502,22738,27568,30295,31606,32886,31849,33013,33536
2012-09-09,31516,28562,24679,18843,12018,5485,5420,6978,10553,14405,20203,23420,25473,25166,24798,23868,22068,23652,26678,25774,25165,23864,20441,16502
2012-09-10,11248,7114,4990,3486,3344,5230,13071,22593,25576,24640,22460,22325,23107,23086,24757,23792,20424,24853,30405,31252,29909,28433,24662,18008
2012-09-11,12534,7868,4938,3258,2795,4462,12862,24125,27642,25921,23899,22967,24351,23295,25039,24095,20244,24940,31858,33505,31793,30583,27368,21291
2012-09-12,14869,9035,5828,3940,3288,4713,13185,25061,28551,26921,24950,24515,25447,24283,25389,24032,18544,21398,28791,31891,32895,32399,30544,25177
2012-09-13,17717,11058,7183,4679,3913,4791,13229,25078,29040,26884,24592,24178,25318,24561,25762,23227,18478,23446,30710,33571,33846,33152,32693,29366
2012-09-14,23624,16007,10706,7125,5430,5561,12997,24002,27648,25886,23813,23928,24510,23549,25774,22652,18545,24169,30903,34303,32273,31816,32944,33198
2012-09-15,30872,27702,24023,18162,11675,5839,5739,8256,12260,16711,20374,22515,23966,24561,24067,24108,21359,24682,29098,31091,29650,29774,31344,33031
2012-09-16,30892,28268,24592,20257,12873,5460,4827,5959,8626,13024,18207,21092,23342,22749,22629,21975,20905,23409,24362,23494,20607,20800,19429,14767
2012-09-17,9913,5935,3818,2618,2876,4365,11004,17852,22131,22633,19586,18397,19612,20211,20983,20646,18945,22624,26417,26539,24367,23027,20216,14749
2012-09-18,10650,6509,3998,2667,2501,4251,12730,22762,26781,26164,23233,21661,22224,23689,23917,21659,18711,24826,29815,31118,29391,26862,23320,17740
2012-09-19,12512,7992,4535,2793,2710,4401,12991,25214,29969,28059,24586,24133,24573,23858,25449,23757,19534,24671,31062,33857,33205,31911,28997,24114
2012-09-20,16761,11356,6465,4173,3522,4587,12876,25348,29216,27451,24885,24510,25236,25293,26352,23753,19053,23571,30080,33490,33924,33052,32228,29931
2012-09-21,22831,15297,10519,6864,5169,5340,12756,23638,28256,26423,24407,23917,24100,23219,25002,21951,18113,22677,29232,32624,32330,31899,33251,33513
2012-09-22,30913,27769,23916,18171,11203,5359,5635,8078,12436,17164,20216,23086,25374,25390,24997,25148,21708,25649,30916,31436,29640,34232,33755,32530
2012-09-23,30601,27903,24907,19829,12180,5387,6298,6367,9613,13672,19282,21812,24352,23863,23373,22507,20612,23223,25395,24707,21944,20487,18216,14579
2012-09-24,10209,5742,3766,2575,2792,4841,12937,21675,24224,22324,20052,19919,19928,19913,20873,19957,17292,21192,26633,28752,28040,26379,23304,17014
2012-09-25,11886,6729,4177,2765,2629,4275,12400,22743,24940,22774,20065,19449,20136,19548,21641,20802,17785,23536,29976,29362,27441,27216,24512,18499
2012-09-26,12451,7808,4917,3443,2903,3771,10000,17023,21673,22153,21549,19658,20595,21284,23721,20426,18295,24195,29427,32010,29145,28479,25366,19823
2012-09-27,13173,8149,5456,3611,3241,5110,13300,23950,27012,25592,22941,22092,22438,21732,23016,21741,17567,23143,29023,32192,33037,32961,31945,29623
2012-09-28,23321,15202,10123,6991,5009,5046,12491,23094,27588,24658,22858,21759,21816,21040,22609,20132,17247,23188,29752,33660,32607,31551,33045,33894
2012-09-29,31812,27712,23542,18074,11080,5300,5501,8200,13637,18793,21903,24213,25840,26273,25509,25426,21547,24582,29714,31934,30032,29935,32598,34639
2012-09-30,32464,28783,25582,20397,12863,5641,5190,6491,9714,14219,18974,22249,24095,26641,24446,23073,21363,23130,25078,24320,22160,19660,19078,16065
2012-10-01,10375,6120,4018,2811,2831,4818,12212,22203,25889,23879,20470,20261,21114,20966,22958,22660,20189,25063,30429,30292,27653,24902,21775,16425
2012-10-02,11102,6735,4171,2701,2658,4192,11785,23483,28142,26151,22654,25319,27287,25922,25724,24518,18958,25452,30982,31858,30557,29144,25021,19298
2012-10-03,13075,7699,4592,3113,2823,4281,12371,24383,29280,27199,23697,23396,24353,23958,25583,24168,19578,25605,32025,34174,34186,28685,27249,24020
2012-10-04,16476,9717,6063,4001,3462,4694,12823,24491,28752,27146,24542,24919,25502,25679,26028,23990,19219,25591,31134,34344,33866,33151,32414,28926
2012-10-05,22100,14352,9561,6322,4928,5203,12133,23302,27378,26373,23869,23912,24669,23541,25706,22981,19086,24376,30863,34158,33357,31887,33265,33502
2012-10-06,31614,27444,23696,18197,11728,5726,5895,9139,12520,17189,20351,23520,24664,25493,25943,25487,21780,25109,30457,33338,30647,29479,32328,34211
2012-10-07,32443,28880,25269,20145,12439,5389,5273,6093,8919,13203,19230,25619,26178,23781,22415,20916,20418,23242,25229,26622,24435,23626,19108,16537
2012-10-08,12182,7489,5100,3608,3544,4202,9133,15141,20195,21043,19033,19389,19998,20783,21672,21904,20123,23844,27809,27809,24174,21963,19579,14757
2012-10-09,11474,6261,3772,2384,2494,4298,12661,24681,28769,27100,23153,22571,23339,24014,25860,23175,19542,25939,32350,32950,29950,28757,25178,18589
2012-10-10,12633,7356,4630,3203,2929,4673,13318,25149,29494,28025,23775,23383,23508,22965,24550,23717,19392,25157,31722,33360,31958,31481,29367,24362
2012-10-11,15787,9322,5981,3934,3380,4601,12311,24470,28382,27338,24817,24116,25157,24553,25891,23604,19108,24017,30792,34303,34472,33086,32244,29352
2012-10-12,24397,14378,9430,6257,4973,4981,12381,23534,28007,27058,26171,25271,25094,23792,25584,23460,19859,25204,31808,35414,35376,34211,35295,34584
2012-10-13,31560,26829,22469,16427,10152,4855,5605,8338,13656,19181,22786,25046,26234,26489,25588,25491,22131,25823,30567,32738,30922,29417,32168,33304
2012-10-14,32474,29951,24309,18831,11935,5154,4846,6508,10548,15580,20445,23067,24411,23846,23782,22389,20296,22038,24001,24635,21815,19647,17605,14737
2012-10-15,9700,5840,3704,2551,2810,4896,12384,22105,25933,24383,21625,21736,22290,22510,24112,24301,21062,26004,31577,31549,27584,25618,22661,17236
2012-10-16,10951,5981,3833,2569,2609,4335,12130,23625,28947,27996,24038,23079,24206,23242,25171,23746,19870,26160,31898,33404,33334,29721,26884,23117
2012-10-17,14174,8721,5180,3435,3129,4539,12664,24817,28405,26952,23534,23397,24140,23679,25475,23711,19326,24760,30968,33653,32538,32248,30416,24276
2012-10-18,16097,10363,6521,4239,3388,4617,12663,24689,28174,26809,23814,23523,24383,24146,24717,22285,18050,25157,31641,34515,33884,33455,31224,29450
2012-10-19,23835,16162,10603,6717,4944,5192,13542,23292,28391,27435,25217,25309,25345,22705,24282,21985,18516,25278,31676,35040,33676,32000,33171,32785
2012-10-20,30646,26228,22368,16841,10833,5390,5845,9099,14435,19122,21376,24183,25292,25837,25287,24643,20135,22817,27346,29375,30316,30907,33292,33428
2012-10-21,31999,28822,25385,19932,12998,5602,5226,7081,10795,15547,20275,23398,25149,24844,24737,23430,21208,22940,25598,24148,22827,20790,18004,11881
2012-10-22,9733,5638,3708,2692,2975,4811,12268,22115,25343,24458,21545,21144,22135,21885,23560,23246,19965,25035,30505,30510,29714,24694,22485,17291
2012-10-23,11519,6580,3925,2550,2581,4668,12645,24042,27837,26359,23396,23036,23239,24857,25840,23646,18935,25341,31641,32870,32081,32171,28747,21999
2012-10-24,13315,7813,4842,3138,2966,4546,12282,24350,29148,27119,24448,23519,24195,24006,25311,23711,19887,26309,32500,34414,32811,32668,30264,24444
2012-10-25,16206,9732,6094,3876,3467,4685,12571,24486,29030,27689,24574,23954,25138,24665,25862,23600,18830,24641,30205,34413,33843,33699,31768,29711
2012-10-26,23237,15635,10284,6956,5298,5265,11693,19473,22687,22688,21928,22426,23300,22559,22562,20223,17830,21963,27768,30835,31272,31077,31749,30731
2012-10-27,28062,25493,22770,18338,11778,5924,5793,8390,12388,17525,20973,23633,25709,26065,25924,24772,20406,23515,28736,31197,31009,31935,33501,32648
2012-10-28,31797,30625,28022,23455,16474,8359,6183,7568,10498,15265,20239,23721,26284,25824,25195,23429,20495,19787,16041,13444,11827,9812,8869,7265
2012-10-29,5165,3120,1973,1265,1149,1725,4257,7187,8829,7852,7859,10344,10595,9311,8126,6895,4677,3777,2803,2084,1484,1302,1047,982
2012-10-30,810,525,365,243,246,414,927,1903,3045,4260,6247,7955,9536,10607,12280,13357,13098,15099,16113,15368,13445,12704,12460,10699
2012-10-31,7640,4633,2810,1867,1464,3146,9051,14742,15621,15421,15142,14873,14770,14821,15218,13589,10173,11510,14229,16081,17280,18749,19268,17141
2012-11-01,13517,9408,6666,4755,3714,4560,9556,14189,15801,16344,16635,16965,17918,17742,18034,15750,11944,13739,17119,18815,18806,18673,18202,16269
2012-11-02,12095,7523,4969,3391,2769,4022,8229,12941,15239,16197,16951,16666,16618,15078,15405,13715,11614,13775,17032,19114,19707,19671,19530,19284
2012-11-03,17873,15524,12587,9237,6059,3876,4901,7887,11833,15699,18244,20144,21310,22074,22674,22219,19543,21673,25834,28597,27759,27460,28349,27918
2012-11-04,26669,39328,14439,10303,5934,3599,4217,6433,9078,13558,18400,21964,22965,23499,24335,23932,23082,23479,25006,23894,21132,19709,16457,12607
2012-11-05,8012,4656,3002,2097,2416,4809,13305,21574,24286,22596,19953,19507,20091,19716,21724,21641,19556,23759,28541,28991,27181,25137,22197,16183
2012-11-06,10043,5801,3584,2313,2543,4427,12824,21569,25744,25198,23075,22129,22672,22185,23792,22857,19125,22493,27763,29306,28383,26133,24180,22392
2012-11-07,17930,8544,9149,3984,3251,4558,12765,23304,27911,26631,24266,27385,25631,25594,24502,20691,15222,18348,22290,22633,21958,21631,19752,15621
2012-11-08,10591,6137,4111,2653,2381,3948,11972,22169,26937,26120,23073,22106,22868,22348,24012,22856,19128,24030,31147,33283,32551,32310,31175,28361
2012-11-09,21081,14270,9306,6161,4682,5144,13038,23411,27894,26709,24330,23661,24030,23860,25227,22147,18906,23294,29009,32299,32754,32751,33648,32796
2012-11-10,30679,26792,22509,17084,10758,5119,5567,8630,12973,18386,21806,24594,26536,27172,27719,26128,23090,26837,31011,33476,29537,29783,32632,34550
2012-11-11,32848,29302,25008,19578,12723,5592,4868,6364,9527,14822,19843,22740,24995,25053,24348,23658,21774,24025,25969,24178,21532,20511,18755,15439
2012-11-12,10762,6510,4127,2896,2872,4100,10062,18375,23401,23660,21937,22247,22637,21627,23234,21780,18044,22029,27667,28673,26938,25472,21790,16560
2012-11-13,12627,8121,4116,2641,2993,4754,13379,24147,28323,27845,24688,23523,24759,23952,24359,22458,18414,23558,30231,31901,31446,30444,28137,21767
2012-11-14,14348,9226,5030,3400,3135,4756,13209,24615,28917,27453,24141,24075,24390,23861,25295,22479,16117,19904,27534,31459,31377,31711,30373,24866
2012-11-15,16415,9775,5967,3862,3533,4924,13361,24844,28813,27817,24952,24385,24776,24218,25484,22573,17959,23142,29144,32291,32603,32356,32175,29913
2012-11-16,24314,15231,9899,6370,5116,5318,12993,23997,28316,27172,24722,24423,24332,24017,24887,22088,17650,22782,28987,32415,32436,32745,33642,33261
2012-11-17,31567,27475,22997,17125,10954,5311,6008,9108,13317,18732,22022,24270,26122,25736,25478,25069,20671,24562,30778,32693,30559,29900,32772,34156
2012-11-18,33078,29910,25538,20167,12711,5636,5306,6849,9471,14439,20075,23310,24714,25103,24700,23085,20460,22269,24874,23046,20281,19934,17579,13778
2012-11-19,9497,6054,3910,2530,2862,4781,12699,22834,26762,24993,22358,21917,22744,22872,24407,22607,18820,23070,28278,29078,28501,27135,23740,18216
2012-11-20,11785,7191,4480,2978,3032,4648,12697,23345,27465,26829,24215,23156,24252,23679,24215,22037,17158,21637,27508,30005,29880,29278,27042,22858
2012-11-21,16661,11097,6955,4594,4333,5132,12255,20648,25883,25277,23452,24103,25218,24811,24658,21525,17760,22177,27022,27584,25374,23917,24306,23247
2012-11-22,19213,16046,12941,10105,7371,5483,6977,9076,10207,11304,12823,15091,15736,15919,16711,17024,15944,16093,15272,15327,16085,17044,16784,14415
2012-11-23,11400,8219,6083,4336,3578,3075,5171,7747,9853,12100,14615,16674,18240,20135,20751,21741,19786,22556,24068,24747,21291,26224,24737,22027
2012-11-24,18636,16294,13977,11164,7548,3582,3858,5029,7505,12258,16167,19775,21838,23072,22998,24262,21945,24729,28191,30328,26007,25403,28114,29134
2012-11-25,25629,21992,18668,14255,9543,4671,4471,5785,8175,12047,17064,19919,22889,22848,23077,22485,20622,22660,23566,22803,20744,18864,16885,13772
2012-11-26,9762,4803,3015,2153,2650,5053,12571,22410,27210,25251,21484,20775,21720,21244,23048,22685,19929,24194,29253,29342,26618,24649,21468,15483
2012-11-27,10287,5687,3615,2353,2391,4372,12407,24322,29534,28203,26119,25455,25124,24119,25435,23057,17024,22234,29318,31091,29869,29027,26271,20202
2012-11-28,12670,7500,4414,3005,2810,4412,12588,24709,29539,27867,24453,23287,24551,23608,25472,23189,18472,23659,30199,32132,31137,30839,29682,25209
2012-11-29,16186,9401,5865,3791,3291,4568,12534,24709,28866,27637,25013,24474,25271,24350,25477,23391,18404,23934,30601,33514,33707,33521,31723,29408
2012-11-30,22082,14293,9584,6072,4674,4776,12064,23785,28901,27496,24668,24461,24116,24181,25368,22211,18327,23481,30077,34221,33985,33721,34401,34143
2012-12-01,31535,27857,23313,17370,10921,4995,5307,9028,12958,18769,23568,26757,29412,29815,28940,27487,22081,25803,31076,31370,31910,31547,33480,34506
2012-12-02,32715,30460,26259,20790,12932,5481,4898,6522,9483,14806,21381,25298,26646,26498,25684,24567,20378,22488,25190,24230,21989,22606,19016,13993
2012-12-03,9193,5284,3525,2415,2705,4908,12480,22608,26447,26089,22153,21279,22581,22454,23987,22913,19108,23946,29714,30011,29058,26753,24810,19393
2012-12-04,12340,7427,4186,2811,2702,4620,13808,25293,29043,27876,24308,23572,23474,23154,24520,22679,18029,23455,29378,31056,30304,29994,28212,23194
2012-12-05,14769,8672,5214,3249,3144,4610,12854,24876,28719,27649,24732,24058,24653,23717,25387,23268,18992,24905,31204,32792,33346,33471,31672,27391
2012-12-06,18444,10628,6203,3896,3446,4736,13213,25477,29207,28036,25661,24724,25311,24402,25861,23000,17149,21153,28209,32203,33101,33376,32452,29924
2012-12-07,24514,15707,9962,6364,4928,5137,12508,24205,29273,28285,25521,26176,24239,24374,25210,20690,15808,20422,27953,31146,31992,32200,32458,31659
2012-12-08,29733,26143,21494,15983,10060,4727,5087,7849,12663,18518,23008,26083,28261,28472,27295,26282,21297,24860,30205,31704,30804,31641,33697,32907
2012-12-09,31997,30300,25836,20307,12505,5556,4976,6229,9312,14778,22711,26870,28233,27504,26434,23892,19768,22183,25526,25482,22455,20927,19165,14894
2012-12-10,9371,5182,3468,2512,2949,4909,12673,22666,26564,25741,22247,21536,22182,22203,24506,21920,18821,23918,29296,30333,27845,26692,24383,18724
2012-12-11,13074,7634,4745,3052,2692,4652,13221,24292,28803,27517,24190,22440,23173,22891,25279,23493,18697,24592,30843,32233,31913,31729,29634,24309
